产品名称,产品昵称,简称,运营商/平台,单机/网游,细分品类
星辰奇缘,,,其他,网游,回合
永夜魔君,,,其他,网游,ARPG
海绵宝宝当大厨,,,其他,单机弱联网,休闲益智
谁是卧底online,,,其他,网游,休闲益智
赛尔号,,,其他,网游,ARPG
中至上饶麻将,,,其他,网游,棋牌
麦游斗地主,,,其他,网游,棋牌
少女前线,,,其他,网游,枪战射击
牛哔的对话,,,其他,单机弱联网,休闲益智
来来淮北麻将,,,其他,网游,棋牌
四川游戏家园,,,其他,网游,棋牌
快乐麻将,,,其他,网游,棋牌
浴血长空,,,其他,网游,枪战射击
完美做蛋糕店,,,其他,单机弱联网,休闲益智
哥哥斗地主,,,其他,网游,棋牌
蛙蛙斗地主,,,其他,网游,棋牌
牛元帅,,,其他,网游,棋牌
贪吃蛇大决战,,,其他,单机弱联网,休闲益智
肥皂大作战,,,其他,单机弱联网,休闲益智
快乐牛牛,,,其他,网游,棋牌
多乐贵阳捉鸡麻将,,,其他,网游,棋牌
巴啦啦小魔仙幻彩美妆,,,其他,单机弱联网,休闲益智
欢乐斗地主（最新版）,,,其他,网游,棋牌
金手指捕鱼,,,其他,网游,休闲益智
买房记,,,其他,单机弱联网,模拟经营
百乐捕鱼,,,其他,网游,休闲益智
西游记之大圣归来,,,其他,网游,ARPG
史上最坑爹的游戏3,,,其他,单机弱联网,休闲益智
变形金刚:地球之战,,,其他,网游,战争策略
麻友圈贵阳捉鸡麻将,,,其他,网游,棋牌
多乐跑胡子,,,其他,网游,棋牌
京门风月,,,其他,网游,模拟经营
史小坑的烦恼2,,,其他,单机弱联网,休闲益智
猪猪侠之五灵酷跑,,,其他,单机弱联网,跑酷躲避
史上最坑爹的游戏15,,,其他,单机弱联网,休闲益智
全民抓抓乐,,,其他,单机弱联网,休闲益智
梦幻传说,,,其他,网游,回合
三国点将录,,,其他,网游,战争策略
人鱼公主美妆秀,,,其他,单机弱联网,模拟经营
3D出租车驾驶员,,,其他,单机弱联网,模拟经营
轻松跑得快,,,其他,网游,棋牌
大头儿子2乐园酷跑,,,其他,单机弱联网,跑酷躲避
香肠派对,,,其他,网游,枪战射击
江湖风云录,,,其他,网游,ARPG
焚天决,,,其他,网游,ARPG
求生之王,,,其他,网游,枪战射击
兽王争霸,,,其他,单机弱联网,对战卡牌类
魔域手游,,,其他,网游,MMO
一起麻将,,,其他,网游,棋牌
超级飞侠环球大冒险,,,其他,单机弱联网,休闲益智
3D卡车司机专业版,,,其他,单机弱联网,赛车竞速
狙神荣耀,,,其他,网游,枪战射击
叮叮抓娃娃,,,其他,单机弱联网,休闲益智
超级幻影猫2,,,其他,单机弱联网,休闲益智
恐龙神奇宝贝,,,其他,单机弱联网,模拟经营
连连看,,,其他,单机弱联网,消除
三国杀OL,,,其他,网游,棋牌
心动小狗,,,其他,单机弱联网,模拟经营
史上最坑爹的游戏9,,,其他,单机弱联网,休闲益智
欢乐泡泡龙,,,其他,单机弱联网,消除
全民数独,,,其他,单机弱联网,休闲益智
天天单机斗地主,,,其他,单机弱联网,棋牌
Hair Salon 3,,,其他,单机弱联网,休闲益智
捕鱼比赛,,,其他,网游,休闲益智
巴啦啦魔法蛋糕2,,,其他,单机弱联网,休闲益智
灵魂撕裂,,,其他,网游,ARPG
巴啦啦小魔仙魔法美甲,,,其他,单机弱联网,休闲益智
猎鱼达人,,,腾讯,网游,休闲益智
单机斗地主,,,联众,单机弱联网,棋牌
四川麻将（血战到底）,,,其他,网游,棋牌
校园时装店,,,其他,单机弱联网,模拟经营
巴啦啦小魔仙美味蛋糕,,,其他,单机弱联网,休闲益智
巴啦啦魔法变身2,,,其他,单机弱联网,模拟经营
五子棋经典版,,,其他,单机弱联网,棋牌
火柴人大乱斗（特惠版）,,,其他,单机弱联网,ARPG
物理球,,,其他,单机弱联网,休闲益智
一起玩捕鱼,,,其他,网游,休闲益智
单机连连看,,,其他,单机弱联网,消除
欢乐真人麻将,,,其他,网游,棋牌
放置江湖,,,其他,网游,ARPG
史小坑的烦恼1:考试,,,其他,网游,休闲益智
QKA棋牌,,,其他,网游,棋牌
腾讯广东麻将,,,腾讯,网游,棋牌
超级飞侠全球大冒险,,,其他,单机弱联网,休闲益智
凯蒂环球之旅,,,腾讯,网游,消除
召唤与合成,,,其他,网游,休闲益智
