产品名称,产品拼音首字母,产品昵称,运营商/平台,单机/网游,细分品类,,,,,,,
拖拉机,TLJ,,其他,单机弱联网,棋牌,,,,,,,
土豪炸翻天,THZFT,,其他,单机弱联网,棋牌,,,,,,,
途游斗地主,TYDDZ,,其他,网游,棋牌,,,,,,,
同城游两副头,TCYLFT,,其他,单机弱联网,棋牌,,,,,,,
同城游掼蛋,TCYZD,,其他,单机弱联网,棋牌,,,,,,,
同城游斗地主,TCYDDZ,,其他,单机弱联网,棋牌,,,,,,,
同城游打大A,TCYDDA,,其他,单机弱联网,棋牌,,,,,,,
同城游保皇,TCYBH,,其他,单机弱联网,棋牌,,,,,,,
同城游,TCY,,其他,单机弱联网,棋牌,,,,,,,
跳棋精灵,TQJL,,其他,单机弱联网,棋牌,,,,,,,
天天斗牛,TTDN,,其他,网游,棋牌,,,,,,,
天天斗地主（真人版）,TTDDZ（ZRB）,,其他,网游,棋牌,,,,,,,
天天德州,TTDZ,,腾讯,网游,棋牌,,,,,,,
随便字牌,SBZP,,其他,单机弱联网,棋牌,,,,,,,
四川麻将,SCMJ,,其他,单机弱联网,棋牌,,,,,,,
同城游双扣,TCYSK,,其他,单机弱联网,棋牌,,,,,,,
锐游三张牌,RYSZP,,其他,单机弱联网,棋牌,,,,,,,
群星斗地主,QXDDZ,,其他,单机弱联网,棋牌,,,,,,,
雀王公馆,QWGG,,其他,单机弱联网,棋牌,,,,,,,
全民炸翻天,QMZFT,,其他,单机弱联网,棋牌,,,,,,,
千王AAA,QWAAA,,其他,单机弱联网,棋牌,,,,,,,
奇葩斗地主,QZDDZ,,其他,单机弱联网,棋牌,,,,,,,
皮皮四川麻将,PPSCMJ,,其他,单机弱联网,棋牌,,,,,,,
南通长牌,NTCP,,其他,单机弱联网,棋牌,,,,,,,
陌陌麻将,MMMJ,,其他,网游,棋牌,,,,,,,
明星三缺一国标版2015,MXSQYGBB2015,,其他,单机弱联网,棋牌,,,,,,,
明星斗地主,MXDDZ,,触控,单机弱联网,棋牌,,,,,,,
咪咕棋牌,ZGQP,,其他,单机弱联网,棋牌,,,,,,,
马上斗地主,MSDDZ,,联众,单机弱联网,棋牌,,,,,,,
麻将探险之旅HD,MJTXZLHD,,其他,单机弱联网,棋牌,,,,,,,
麻将明星3缺1,MJMX3Q1,,其他,单机弱联网,棋牌,,,,,,,
麻将 神来也16张麻将,MJ SLY16ZMJ,,其他,单机弱联网,棋牌,,,,,,,
萝莉大赢家,LLDYJ,,其他,网游,棋牌,,,,,,,
单机斗地主（开心版）,DJDDZ（KXB）,,联众,网游,棋牌,,,,,,,
癞子斗地主,ZZDDZ,,其他,单机弱联网,棋牌,,,,,,,
快乐斗地主,KLDDZ,,其他,单机弱联网,棋牌,,,,,,,
酷酷斗地主,KKDDZ,,其他,单机弱联网,棋牌,,,,,,,
口袋德州扑克,KDDZPK,,其他,单机弱联网,棋牌,,,,,,,
空当接龙,KDJL,,其他,单机弱联网,棋牌,,,,,,,
开心三张,KXSZ,,其他,单机弱联网,棋牌,,,,,,,
开心斗地主,KXDDZ,,其他,网游,棋牌,,,,,,,
卡五星麻将,KWXMJ,,其他,单机弱联网,棋牌,,,,,,,
军棋翻翻棋,JQFFQ,,其他,单机弱联网,棋牌,,,,,,,
军棋,JQ,,其他,单机弱联网,棋牌,,,,,,,
精品中国象棋,JPZGXQ,,JJ,单机弱联网,棋牌,,,,,,,
经典单机麻将,JDDJMJ,,其他,单机弱联网,棋牌,,,,,,,
金游掼蛋,JYZD,,其他,单机弱联网,棋牌,,,,,,,
金榜斗地主,JBDDZ,,其他,单机弱联网,棋牌,,,,,,,
街机麻将合集2,JJMJHJ2,,其他,单机弱联网,棋牌,,,,,,,
接龙,JL,,其他,单机弱联网,棋牌,,,,,,,
嘉米麻将,JMMJ,,其他,单机弱联网,棋牌,,,,,,,
吉祥长春麻将,JXCCMJ,,其他,单机弱联网,棋牌,,,,,,,
吉祥棋牌,JXQP,,其他,网游,棋牌,,,,,,,
火拼德州,HPDZ,,其他,网游,棋牌,,,,,,,
皇冠赢三张,HGYSZ,,其他,单机弱联网,棋牌,,,,,,,
皇冠德州扑克,HGDZPK,,其他,网游,棋牌,,,,,,,
欢乐围棋,HLWQ,,其他,单机弱联网,棋牌,,,,,,,
欢乐途游麻将,HLTYMJ,,其他,网游,棋牌,,,,,,,
欢乐升级,HLSJ,,腾讯,网游,棋牌,,,,,,,
欢乐拼三张,HLPSZ,,腾讯,网游,棋牌,,,,,,,
欢乐逗地主,HLDDZ,,其他,单机弱联网,棋牌,,,,,,,
欢乐斗棋牌,HLDQP,,腾讯,网游,棋牌,,,,,,,
欢乐斗地主2017,HLDDZ2017,,其他,单机弱联网,棋牌,,,,,,,
湖南跑得快,HNPDK,,其他,单机弱联网,棋牌,,,,,,,
国际象棋,GJXQ,,其他,网游,棋牌,,,,,,,
贵阳麻将-抓鸡,GYMJ-ZJ,,其他,单机弱联网,棋牌,,,,,,,
掼蛋,ZD,,其他,单机弱联网,棋牌,,,,,,,
够级,GJ,,其他,单机弱联网,棋牌,,,,,,,
干瞪眼,GDY,,其他,单机弱联网,棋牌,,,,,,,
富豪斗地主,FHDDZ,,其他,单机弱联网,棋牌,,,,,,,
疯狂麻将,FKMJ,,其他, 单机弱联网,棋牌,,,,,,,
疯狂斗牛,FKDN,,其他,单机弱联网,棋牌,,,,,,,
博雅斗牛,BYDN,,博雅,单机弱联网,棋牌,,,,,,,
疯锄大Ｄ,FCDＤ,,其他,单机弱联网,棋牌,,,,,,,
飞行棋大战,FXQDZ,,其他,单机弱联网,棋牌,,,,,,,
二人斗地主,ERDDZ,,其他,单机弱联网,棋牌,,,,,,,
多乐象棋,DLXQ,,其他,网游,棋牌,,,,,,,
够级,GJ,,其他,网游,棋牌,,,,,,,
多乐保皇,DLBH,,其他,网游,棋牌,,,,,,,
斗牛牛,DNN,,其他,单机弱联网,棋牌,,,,,,,
斗地主赢话费,DDZYHF,,其他,单机弱联网,棋牌,,,,,,,
斗地主-单机游戏,DDZ-DJYX,,其他,单机弱联网,棋牌,,,,,,,
斗地主（单机版）,DDZ（DJB）,,其他,单机弱联网,棋牌,,,,,,,
斗地主,DDZ,,其他,单机弱联网,棋牌,,,,,,,
单机游戏斗地主,DJYXDDZ,,其他,单机弱联网,棋牌,,,,,,,
单机拖拉机升级,DJTLJSJ,,其他,单机弱联网,棋牌,,,,,,,
单机甜心麻将,DJTXMJ,,其他,单机弱联网,棋牌,,,,,,,
单机跑得快,DJPDK,,其他,单机弱联网,棋牌,,,,,,,
单机麻将,DJMJ,,其他,单机弱联网,棋牌,,,,,,,
单机麻将,DJMJ,,其他,单机弱联网,棋牌,,,,,,,
单机斗地主游戏,DJDDZYX,,其他,单机弱联网,棋牌,,,,,,,
单机斗地主-波克,DJDDZ-BK,,联众,单机弱联网,棋牌,,,,,,,
单机斗地主,DJDDZ,,JJ,单机弱联网,棋牌,,,,,,,
单机斗地主,DJDDZ,,其他,单机弱联网,棋牌,,,,,,,
单机斗地主,DJDDZ,,其他,单机弱联网,棋牌,,,,,,,
四海单机斗地主,SHDJDDZ,,其他,单机弱联网,棋牌,,,,,,,
单机斗地主,DJDDZ,,其他,单机弱联网,棋牌,,,,,,,
大连打滚子,DLDGZ,,其他,单机弱联网,棋牌,,,,,,,
单机麻将-开心版,DJMJ-KXB,,联众,单机弱联网,棋牌,,,,,,,
博雅中国象棋,BYZGXQ,,博雅,单机弱联网,棋牌,,,,,,,
博雅四人斗地主,BYSRDDZ,,博雅,单机弱联网,棋牌,,,,,,,
博雅四川棋牌,BYSCQP,,博雅,单机弱联网,棋牌,,,,,,,
博雅二人麻将,BYERMJ,,博雅,单机弱联网,棋牌,,,,,,,
博雅斗地主,BYDDZ,,博雅,单机弱联网,棋牌,,,,,,,
博雅德州扑克,BYDZPK,,其他,网游,棋牌,,,,,,,
博雅锄大地,BYCDD,,博雅,单机弱联网,棋牌,,,,,,,
波克棋牌,BKQP,,波克,单机弱联网,棋牌,,,,,,,
波克斗地主,BKDDZ,,波克,单机弱联网,棋牌,,,,,,,
边锋斗地主,BFDDZ,,其他,网游,棋牌,,,,,,,
豹子王,BZW,,其他,单机弱联网,棋牌,,,,,,,
保皇,BH,,其他,单机弱联网,棋牌,,,,,,,
保皇,BH,,其他,单机弱联网,棋牌,,,,,,,
百旺跑胡子,BWPHZ,,其他,单机弱联网,棋牌,,,,,,,
白金岛跑得快,BJDPDK,,其他,网游,棋牌,,,,,,,
暗棋2,AQ2,,其他,单机弱联网,棋牌,,,,,,,
爱掼蛋,AZD,,其他,单机弱联网,棋牌,,,,,,,
欢乐五子棋,HLWZQ,,腾讯,网游,棋牌,,,,,,,
QQ麻将,QQMJ,,腾讯,网游,棋牌,,,,,,,
腾讯斗地主,TYDDZ,,腾讯,网游,棋牌,,,,,,,
KK欢乐斗地主,KKHLDDZ,,其他,单机弱联网,棋牌,,,,,,,
JJ麻将,JJMJ,,JJ,单机弱联网,棋牌,,,,,,,
JJ欢乐斗地主,JJHLDDZ,,JJ,单机弱联网,棋牌,,,,,,,
JJ德州扑克,JJDZPK,,JJ,单机弱联网,棋牌,,,,,,,
JJ比赛,JJBS,,JJ,单机弱联网,棋牌,,,,,,,
FreeCell,FreeCell,,其他,单机弱联网,棋牌,,,,,,,
沼泽派对,ZZPD,,其他,单机弱联网,模拟经营,,,,,,,
战舰少女R,ZJSNR,,其他,网游,模拟经营,,,,,,,
战舰少女,ZJSN,,其他,网游,卡牌RPG,,,,,,,
要塞围城,YSWC,,其他,单机弱联网,模拟经营,,,,,,,
小小军团,XXJT,,其他,单机弱联网,卡牌RPG,,,,,,,
小时代（官方游戏）,XSD（GFYX）,,网易,网游,模拟经营,,,,,,,
我的世界（国际）,WDSJ（GJ）,,其他,单机弱联网,模拟经营,,,,,,,
我的明星女友,WDMXNY,,其他,单机弱联网,模拟经营,,,,,,,
头发沙龙2,TFSL2,,其他,单机弱联网,模拟经营,,,,,,,
甜甜萌物语,TTMWY,,其他,网游,模拟经营,,,,,,,
天天富翁,TTFW,,腾讯,网游,棋牌,,,,,,,
水族馆,SZG,,其他,单机弱联网,模拟经营,,,,,,,
时尚达人,SSDR,,其他,单机弱联网,模拟经营,,,,,,,
全民小镇,QMXZ,,腾讯,网游,模拟经营,,,,,,,
全民农场,QMNC,,腾讯,网游,模拟经营,,,,,,,
全民闯天下,QMCTX,,腾讯,网游,卡牌RPG,,,,,,,
I LOVE PASTA（全民餐廳）,I LOVE PASTA（QMCT）,,其他,网游,模拟经营,,,,,,,
晴天小猫,QTXM,,其他,单机弱联网,模拟经营,,,,,,,
烹饪发烧友,PZFSY,,其他,单机弱联网,模拟经营,,,,,,,
暖暖环游世界,NNHYSJ,,其他,网游,模拟经营,,,,,,,
暖暖的换装物语,NNDHZWY,,其他,单机弱联网,模拟经营,,,,,,,
模拟山羊,MNSY,,其他,单机弱联网,模拟经营,,,,,,,
模拟人生畅玩版,MNRSCWB,,其他,单机弱联网,休闲益智,,,,,,,
模拟农场16,MNNC16,,其他,单机弱联网,模拟经营,,,,,,,
模拟农场,MNNC,,其他,单机弱联网,模拟经营,,,,,,,
模拟城市：建设,MNCS：JS,,其他,单机弱联网,模拟经营,,,,,,,
米拉奇战记,MLQZJ,,其他,单机弱联网,模拟经营,,,,,,,
梦想城镇,MXCZ,,其他,单机弱联网,模拟经营,,,,,,,
萌娘餐厅,MNCT,,其他,单机弱联网,模拟经营,,,,,,,
猫咖啡店,MKFD,,其他,单机弱联网,模拟经营,,,,,,,
刘备磕头,LBKT,,其他,单机弱联网,模拟经营,,,,,,,
料理妈妈,LLMM,,其他,单机弱联网,模拟经营,,,,,,,
口袋战争,KDZZ,,其他,网游,战争策略,,,,,,,
开心商店,KXSD,,其他,单机弱联网,模拟经营,,,,,,,
开心农场:糖果节,KXNC:TGJ,,其他,单机弱联网,模拟经营,,,,,,,
开心农场,KXNC,,其他,单机弱联网,模拟经营,,,,,,,
卡通农场,KTNC,,其他,网游,模拟经营,,,,,,,
僵尸农场-植物僵尸大乱斗,JSNC-ZWJSDLD,,其他,单机弱联网,模拟经营,,,,,,,
家园,JY,,其他,单机弱联网,模拟经营,,,,,,,
皇后成长计划,HHCCJH,,其他,单机弱联网,模拟经营,,,,,,,
欢乐盖大楼,HLGDL,,其他,单机弱联网,模拟经营,,,,,,,
合战忍者村,HZRZC,,其他,单机弱联网,模拟经营,,,,,,,
怪物的世界,GWDSJ,,其他,单机弱联网,模拟经营,,,,,,,
怪兽传奇,GSCQ,,其他,单机弱联网,模拟经营,,,,,,,
范冰冰魔范学院,FBBMFXY,,其他,网游,模拟经营,,,,,,,
饭店物语,FDWY,,其他,单机弱联网,模拟经营,,,,,,,
帝王三国,DWSG,,其他,网游,回合,,,,,,,
大型超市,DXCS,,其他,单机弱联网,模拟经营,,,,,,,
大海贼冒险岛,DHZMXD,,其他,单机弱联网,模拟经营,,,,,,,
大富翁4Fun,DFW4Fun,,其他,单机弱联网,模拟经营,,,,,,,
大都市,DDS,,其他,单机弱联网,模拟经营,,,,,,,
吃货大食堂,CHDST,,其他,单机弱联网,模拟经营,,,,,,,
城市岛屿3:模拟城市,CSDY3:MNCS,,其他,单机弱联网,模拟经营,,,,,,,
城市岛屿2:建筑故事,CSDY2:JZGS,,其他,单机弱联网,模拟经营,,,,,,,
超级女明星,CJNMX,,其他,单机弱联网,模拟经营,,,,,,,
餐厅物语,CTWY,,其他,网游,模拟经营,,,,,,,
部落探险,BLTX,,其他,单机弱联网,模拟经营,,,,,,,
宝宝认时钟,BBRSZ,,其他,单机弱联网,模拟经营,,,,,,,
巴啦啦魔法变身,BLLMFBS,,其他,单机弱联网,模拟经营,,,,,,,
LINE PLAY,LINE PLAY,,其他,网游,模拟经营,,,,,,,
Hello Kitty 咖啡厅,Hello Kitty KFT,,其他,单机弱联网,模拟经营,,,,,,,
主公莫慌,ZGMH,,网易,网游,战争策略,,,,,,,
我叫MT 2,WJMT 2,,腾讯,网游,卡牌RPG,,,,,,,
我叫MT,WJMT,,触控,网游,卡牌RPG,,,,,,,
天天爱西游,TTAXY,,其他,网游,卡牌RPG,,,,,,,
天魔幻想,TMHX,,腾讯,网游,卡牌RPG,,,,,,,
锁链战记,SLZJ,,其他,网游,卡牌RPG,,,,,,,
十万个冷笑话,SWGLXH,,蓝港,网游,卡牌RPG,,,,,,,
圣斗士星矢：重生,SDSXS：ZS,,其他,网游,卡牌RPG,,,,,,,
神之刃,SZR,,蓝港,网游,卡牌RPG,,,,,,,
神女控,SNK,,其他,网游,卡牌RPG,,,,,,,
少年三国志,SNSGZ,,其他,网游,卡牌RPG,,,,,,,
三国笑传,SGXC,,腾讯,网游,卡牌RPG,,,,,,,
极略三国,JLSG,,其他, 单机弱联网,棋牌,,,,,,,
全民水浒,QMSZ,,腾讯,网游,卡牌RPG,,,,,,,
全民挂机,QMGJ,,其他,网游,回合,,,,,,,
去吧皮卡丘,QBPKQ,,其他,网游,卡牌RPG,,,,,,,
秦时明月,QSMY,,触控,网游,卡牌RPG,,,,,,,
魔法禁书,MFJS,,其他,网游,卡牌RPG,,,,,,,
迷你西游,MNXY,,网易,网游,卡牌RPG,,,,,,,
撸啊撸,ZAZ,,其他,网游,卡牌RPG,,,,,,,
究极数码暴龙,JJSMBL,,其他,网游,卡牌RPG,,,,,,,
欢乐西游,HLXY,,腾讯,网游,卡牌RPG,,,,,,,
航海王强者之路,HHWQZZL,,其他,网游,卡牌RPG,,,,,,,
乖离性百万亚瑟王,GLXBWYSW,,网易,网游,卡牌RPG,,,,,,,
复仇者联盟,FCZLM,,其他,网游,卡牌RPG,,,,,,,
放开那三国,FKNSG,,其他,网游,卡牌RPG,,,,,,,
小冰冰传奇,XBBCQ,,其他,网游,卡牌RPG,,,,,,,
全民神将,QMSJ,,其他,网游,塔防,,,,,,,
变形金刚:崛起,BXJG:ZQ,,其他,网游,卡牌RPG,,,,,,,
百将行,BJX,,网易,网游,卡牌RPG,,,,,,,
MR魔法英雄,MRMFYX,,其他,网游,卡牌RPG,,,,,,,
Excel杀,ExcelS,,其他, 单机弱联网,棋牌,,,,,,,
D的意志,DDYZ,,其他, 单机弱联网,卡牌RPG,,,,,,,
COS大乱斗,COSDLD,,其他,网游,卡牌RPG,,,,,,,
诛仙,ZX,,完美,网游,MMO,,,,,,,
征途,ZT,,腾讯,网游,MMO,,,,,,,
这是我的战争,ZSWDZZ,,其他,单机弱联网,战争策略,,,,,,,
造梦西游OL,ZMXYOL,,其他,网游,ARPG,,,,,,,
御龙在天,YLZT,,腾讯,网游,MMO,,,,,,,
御剑情缘,YJQY,,其他,网游,MMO,,,,,,,
有杀气童话,YSQTH,,其他,网游,卡牌RPG,,,,,,,
英雄战魂,YXZH,,其他,网游,ARPG,,,,,,,
倚天屠龙记,YTTLJ,,其他,网游,MMO,,,,,,,
一刀流,YDL,,其他,网游,MMO,,,,,,,
新仙剑奇侠传,XXJQXC,,其他,网游,卡牌RPG,,,,,,,
仙侠道,XXD,,腾讯,网游,回合,,,,,,,
仙剑奇侠传3D回合,XJQXC3DHH,,其他,网游,回合,,,,,,,
仙剑奇侠传,XJQXC,,腾讯,网游,卡牌RPG,,,,,,,
侠盗猎车手3,XDLCS3,,其他,单机弱联网,ARPG,,,,,,,
圣安地列斯,SADLS,,其他,单机弱联网,ARPG,,,,,,,
罪恶都市,ZEDS,,其他,单机弱联网,ARPG,,,,,,,
熹妃传,ZZC,,其他,网游,卡牌RPG,,,,,,,
卧虎藏龙,WHCL,,其他,网游,MMO,,,,,,,
维加斯,WJS,,其他,单机弱联网,休闲益智,,,,,,,
忘仙,WX,,其他,网游,MMO,,,,,,,
亡灵杀手:夏侯惇,WLSS:XHZ,,触控,单机弱联网,ARPG,,,,,,,
屠龙战神,TLZS,,其他,网游,ARPG,,,,,,,
天下HD,TXHD,,网易,网游,ARPG,,,,,,,
天下,TX,,网易,网游,MMO,,,,,,,
天天打波利,TTDBL,,其他,网游,休闲益智,,,,,,,
天天传奇,TTCQ,,腾讯,网游,卡牌RPG,,,,,,,
天龙3D,TL3D,,畅游,网游,MMO,,,,,,,
贪婪洞窟,TLDK,,其他, 单机弱联网,休闲益智,,,,,,,
蜀山战纪之剑侠传奇,SSZJZJXCQ,,蓝港,网游,MMO,,,,,,,
神武2,SW2,,多益,网游,回合,,,,,,,
神雕侠侣,SDXL,,完美,网游,回合,,,,,,,
射雕英雄传3D,SDYXC3D,,完美,网游,卡牌RPG,,,,,,,
少年西游记,SNXYJ,,其他,网游,卡牌RPG,,,,,,,
三剑豪,SJH,,乐逗,网游,ARPG,,,,,,,
热血传奇,RXCQ,,腾讯,网游,MMO,,,,,,,
全民斩仙,QMZX,,腾讯,网游,MMO,,,,,,,
全民奇迹,QMQJ,,其他,网游,MMO,,,,,,,
全民斗战神,QMDZS,,腾讯,网游,ARPG,,,,,,,
青丘狐传说,QQHCS,,其他,网游,MMO,,,,,,,
女神联盟,NSLM,,其他,网游,卡牌RPG,,,,,,,
魔域口袋版,MYKDB,,其他,网游,MMO,,,,,,,
魔灵召唤,MLZH,,其他,网游,卡牌RPG,,,,,,,
梦幻口袋版,MHKDB,,网易,网游,回合,,,,,,,
梦幻互通版,MHHTB,,网易,网游,回合,,,,,,,
梦幻西游,MHXY,,网易,网游,回合,,,,,,,
六龙争霸3D,LLZB3D,,腾讯,网游,MMO,,,,,,,
黎明之光,LMZG,,蓝港,网游,ARPG,,,,,,,
口袋英雄,KDYX,,其他,网游,卡牌RPG,,,,,,,
酒剑仙-与萌妹野外约战,JJX-YMMYWYZ,,腾讯,网游,ARPG,,,,,,,
进化之地,JHZD,,其他,单机弱联网,MMO,,,,,,,
新剑与魔法,XJYMF,,其他,网游,MMO,,,,,,,
剑侠世界,JXSJ,,其他,网游,MMO,,,,,,,
剑侠情缘,JXQY,,腾讯,网游,MMO,,,,,,,
机战王,JZW,,乐逗,单机弱联网,ARPG,,,,,,,
火影忍者,HYRZ,,腾讯,网游,ARPG,,,,,,,
混沌与秩序：英雄,HZYZX：YX,,其他,网游,MOBA,,,,,,,
混沌与秩序 Online,HZYZX Online,,其他,网游,MOBA,,,,,,,
花千骨,HQG,,其他,网游,ARPG,,,,,,,
后宫甄嬛传,HGZHZ,,蓝港,网游,卡牌RPG,,,,,,,
航海王启航,HHWQH,,其他,网游,卡牌RPG,,,,,,,
果宝三国,GBSG,,乐逗,网游,ARPG,,,,,,,
怪物×联盟2,GW×LM2,,其他,网游,ARPG,,,,,,,
古龙群侠传,GLQXC,,其他,网游,卡牌RPG,,,,,,,
生存战争,SCZZ,,其他,单机弱联网,休闲益智,,,,,,,
愤怒的小鸟英雄传,FNDXNYXC,,其他,单机弱联网,休闲益智,,,,,,,
点杀泰坦,DSTT,,其他,单机弱联网,休闲益智,,,,,,,
大主宰,HGZHZ,,其他,网游,卡牌RPG,,,,,,,
大话西游,DHXY,,网易,网游,回合,,,,,,,
大话2口袋版,DH2KDB,,网易,网游,回合,,,,,,,
潮爆三国,CBSG,,腾讯,网游,卡牌RPG,,,,,,,
不良人,BLR,,其他,网游,卡牌RPG,,,,,,,
傲世西游,ASXY,,其他,网游,卡牌RPG,,,,,,,
暗黑战神,AHZS,,其他,网游,ARPG,,,,,,,
暗黑黎明,AHLM,,其他,网游,ARPG,,,,,,,
艾诺迪亚4,HGZHZ,,其他,单机弱联网,ARPG,,,,,,,
QQ降龙2,QQJL2,,其他,网游,回合,,,,,,,
QQ降龙,QQJL,,其他,网游,回合,,,,,,,
自由之战,ZYZZ,,其他,网游,MOBA,,,,,,,
虚荣,XR,,其他,网游,MOBA,,,,,,,
全民超神,QMCS,,腾讯,网游,MOBA,,,,,,,
未来之战,WLZZ,,其他,网游,ARPG,,,,,,,
乱斗西游2,LDXY2,,网易,网游,卡牌RPG,,,,,,,
刀塔西游,HGZHZ,,其他,网游,MOBA,,,,,,,
真实武器模拟器,ZSWQMNQ,,其他,单机弱联网,枪战射击,,,,,,,
侦察坦克3D,ZCTK3D,,其他,单机弱联网,枪战射击,,,,,,,
战争之王,ZZZW,,其他,网游,战争策略,,,,,,,
战警:坦克游戏,ZJ:TKYX,,其他,单机弱联网,枪战射击,,,,,,,
战舰帝国,ZJDG,,其他,网游,战争策略,,,,,,,
勇闯死人谷,YCSRG,,其他,单机弱联网,休闲益智,,,,,,,
驯龙战机3D,YLZJ3D,,腾讯,网游,飞行射击,,,,,,,
熊出没之丛林大战2,HGZHZ,,其他,单机弱联网,枪战射击,,,,,,,
熊出没之丛林大战,XCMZCLDZ,,其他,单机弱联网,枪战射击,,,,,,,
小小枪战：反恐精英,XXQZ：FKJY,,其他,单机弱联网,枪战射击,,,,,,,
现代战争 5,XDZZ 5,,其他,单机弱联网,枪战射击,,,,,,,
无尽之战,WJZZ,,其他,单机弱联网,飞行射击,,,,,,,
天天枪战,TTQZ,,其他,网游,枪战射击,,,,,,,
坦克世界:闪电战,TKSJ:SDZ,,其他,单机弱联网,休闲益智,,,,,,,
坦克前线：帝国OL,TKQX：DGOL,,其他,网游,战争策略,,,,,,,
坦克前线,TKQX,,其他,网游,战争策略,,,,,,,
坦克1990,HGZHZ,,其他,单机弱联网,枪战射击,,,,,,,
使命召唤：突击队,SMZH：TJD,,其他,单机弱联网,枪战射击,,,,,,,
生化危机4新版,SHWJ4XB,,其他,单机弱联网,枪战射击,,,,,,,
射箭大师 3D,SJDS 3D,,其他,单机弱联网,休闲益智,,,,,,,
杀手之狙击之神,SSZJJZS,,其他,单机弱联网,枪战射击,,,,,,,
热血奥特超人,RXATCR,,其他,单机弱联网,ARPG,,,,,,,
全民突袭,QMTX,,其他,网游,枪战射击,,,,,,,
全民突击,QMTJ,,腾讯,网游,枪战射击,,,,,,,
全民枪战2,RXATCR,,畅游,网游,枪战射击,,,,,,,
全民枪王,QMQW,,腾讯,网游,枪战射击,,,,,,,
全民枪神,QMQS,,其他,网游,枪战射击,,,,,,,
奇幻射击最新版,RXATCR,,其他, 单机弱联网,枪战射击,,,,,,,
炮艇战：直升机 3D,PTZ：ZSJ 3D,,其他,单机弱联网,飞行射击,,,,,,,
炮艇战：3D战舰,PTZ：3DZJ,,其他,单机弱联网,飞行射击,,,,,,,
猎鹿人2014,LLR2014,,其他,单机弱联网,飞行射击,,,,,,,
雷霆X战机2(豪华单机版),RXATCR,,其他,单机弱联网,飞行射击,,,,,,,
雷射战机,LSZJ,,其他,网游,飞行射击,,,,,,,
雷电2015(雷霆版),LD2015(LTB),,其他,单机弱联网,飞行射击,,,,,,,
空战1945,KZ1945,,其他,单机弱联网,飞行射击,,,,,,,
巨炮战队,RXATCR,,其他,网游,战争策略,,,,,,,
狙击行动：代号猎鹰,JJXD：DHLY,,其他,单机弱联网,枪战射击,,,,,,,
精英部队,JYBD,,其他,单机弱联网,枪战射击,,,,,,,
禁锢坦克,RXATCR,,其他,单机弱联网,休闲益智,,,,,,,
僵尸前线3D,LTXZJ3(HHDJB),,其他,单机弱联网,飞行射击,,,,,,,
剑圣无双,JSWS,,其他,单机弱联网,ARPG,,,,,,,
机械战警,RXATCR,,其他,单机弱联网,飞行射击,,,,,,,
火线指令2,HXZL2,,其他,单机弱联网,枪战射击,,,,,,,
火线指令:诺曼底,HXZL:NMD,,其他,单机弱联网,枪战射击,,,,,,,
火线精英3D,HXJY3D,,其他,单机弱联网,飞行射击,,,,,,,
火线精英,HXJY,,其他,单机弱联网,枪战射击,,,,,,,
魂斗罗进化革命,RXATCR,,触控,单机弱联网,飞行射击,,,,,,,
红色坦克4D,LTXZJ4(HHDJB),,其他,单机弱联网,飞行射击,,,,,,,
合金弹头无限币,HJDTWXB,,其他,单机弱联网,枪战射击,,,,,,,
关键任务-特警行动,RXATCR,,其他,单机弱联网,枪战射击,,,,,,,
关键任务-特警行动,GJRW-TJXD,,其他,单机弱联网,枪战射击,,,,,,,
愤怒的小鸟变形金刚,FNDXNBXJG,,其他,单机弱联网,休闲益智,,,,,,,
夺命侏罗纪,DMZLJ,,其他,网游,枪战射击,,,,,,,
独立防线,DLFX,,腾讯,网游,枪战射击,,,,,,,
巅峰战舰,RXATCR,,其他,网游,战争策略,,,,,,,
弹弹岛2,LTXZJ5(HHDJB),,其他,网游,飞行射击,,,,,,,
超级坦克大战2014,CJTKDZ2014,,其他,单机弱联网,飞行射击,,,,,,,
暴击僵尸2015,RXATCR,,其他,单机弱联网,枪战射击,,,,,,,
现代战争4,LTXZJ5(HHDJB),,其他,单机弱联网,枪战射击,,,,,,,
3D直升机-炮艇战,3DZSJ-PTZ,,其他,单机弱联网,飞行射击,,,,,,,
3D坦克争霸,RXATCR,,其他,网游,枪战射击,,,,,,,
罪恶之地,ZEZD,,其他,单机弱联网,ARPG,,,,,,,
正常的大冒险,ZCDDMX,,其他,单机弱联网,休闲益智,,,,,,,
游龙英雄,YLYX,,腾讯,网游,ARPG,,,,,,,
勇者大冒险,YZDMX,,腾讯,网游,枪战射击,,,,,,,
英雄之剑,RXATCR,,蓝港,网游,ARPG,,,,,,,
英雄大作战,LTXZJ6(HHDJB),,其他,单机弱联网,休闲益智,,,,,,,
异形大战铁血战士 进化,YXDZTXZS JH,,其他,单机弱联网,ARPG,,,,,,,
旋风少女,XFSN,,其他,网游,ARPG,,,,,,,
无尽之剑命运,RXATCR,,腾讯,网游,ARPG,,,,,,,
天天格斗,TTGD,,其他,单机弱联网,ARPG,,,,,,,
泰拉瑞亚,RXATCR,,其他,单机弱联网,模拟经营,,,,,,,
太极熊猫,TJXM,,其他,网游,ARPG,,,,,,,
神魔,RXATCR,,其他,网游,ARPG,,,,,,,
杀手2-影子阴谋,SS2-YZYM,,其他,单机弱联网,ARPG,,,,,,,
三国之刃,RXATCR,,腾讯,网游,ARPG,,,,,,,
